Disease,Gene,Drug,SMILES,SideEffect,TargetClass,Pathway,ApprovedForDisease
Breast Cancer,Gene28,Trastuzumab,SMILES331,SideEffect11,TargetClass9,Pathway14,1
Type 2 Diabetes,Gene8,Tamoxifen,SMILES465,SideEffect30,TargetClass14,Pathway1,0
Alzheimer's disease,Gene74,Memantine,SMILES62,SideEffect30,TargetClass1,Pathway13,1
Parkinson's disease,Gene58,Carbidopa,SMILES22,SideEffect26,TargetClass3,Pathway9,1
COVID-19,Gene20,Gefitinib,SMILES59,SideEffect21,TargetClass1,Pathway8,0
Depression,Gene23,Molnupiravir,SMILES96,SideEffect2,TargetClass7,Pathway2,0
Parkinson's disease,Gene94,Carbidopa,SMILES132,SideEffect34,TargetClass3,Pathway12,1
Lung Cancer,Gene21,Molnupiravir,SMILES450,SideEffect36,TargetClass1,Pathway11,0
COVID-19,Gene73,Molnupiravir,SMILES299,SideEffect1,TargetClass19,Pathway9,1
Breast Cancer,Gene46,Tamoxifen,SMILES142,SideEffect36,TargetClass12,Pathway1,1
Breast Cancer,Gene66,Trastuzumab,SMILES198,SideEffect8,TargetClass4,Pathway9,1
Parkinson's disease,Gene44,Levodopa,SMILES312,SideEffect28,TargetClass15,Pathway6,1
COVID-19,Gene96,Remdesivir,SMILES362,SideEffect49,TargetClass18,Pathway2,1
Breast Cancer,Gene71,Trastuzumab,SMILES317,SideEffect27,TargetClass15,Pathway5,1
Lung Cancer,Gene93,Carbidopa,SMILES102,SideEffect40,TargetClass19,Pathway6,0
Parkinson's disease,Gene69,Carbidopa,SMILES458,SideEffect21,TargetClass6,Pathway3,1
COVID-19,Gene58,Levodopa,SMILES168,SideEffect33,TargetClass2,Pathway11,0
Type 2 Diabetes,Gene81,Glipizide,SMILES464,SideEffect6,TargetClass19,Pathway7,1
Breast Cancer,Gene77,Tamoxifen,SMILES112,SideEffect14,TargetClass18,Pathway13,1
COVID-19,Gene94,Molnupiravir,SMILES183,SideEffect44,TargetClass14,Pathway14,1
Lung Cancer,Gene14,Erlotinib,SMILES272,SideEffect9,TargetClass17,Pathway8,1
Type 2 Diabetes,Gene84,Levodopa,SMILES405,SideEffect23,TargetClass2,Pathway8,0
Alzheimer's disease,Gene1,Donepezil,SMILES168,SideEffect18,TargetClass3,Pathway1,1
Type 2 Diabetes,Gene23,Glipizide,SMILES459,SideEffect13,TargetClass12,Pathway7,1
Lung Cancer,Gene66,Erlotinib,SMILES163,SideEffect8,TargetClass1,Pathway9,1
Alzheimer's disease,Gene31,Donepezil,SMILES189,SideEffect10,TargetClass3,Pathway8,1
Type 2 Diabetes,Gene32,Metformin,SMILES351,SideEffect16,TargetClass2,Pathway11,1
Alzheimer's disease,Gene17,Donepezil,SMILES355,SideEffect48,TargetClass5,Pathway4,1
Breast Cancer,Gene78,Carbidopa,SMILES10,SideEffect3,TargetClass6,Pathway13,0
Alzheimer's disease,Gene50,Memantine,SMILES231,SideEffect9,TargetClass1,Pathway9,1
Parkinson's disease,Gene64,Levodopa,SMILES179,SideEffect45,TargetClass3,Pathway9,1
COVID-19,Gene20,Trastuzumab,SMILES489,SideEffect42,TargetClass13,Pathway8,0
Parkinson's disease,Gene21,Levodopa,SMILES19,SideEffect5,TargetClass8,Pathway2,1
Alzheimer's disease,Gene75,Sertraline,SMILES359,SideEffect20,TargetClass12,Pathway6,0
Type 2 Diabetes,Gene63,Sertraline,SMILES435,SideEffect45,TargetClass15,Pathway13,0
COVID-19,Gene23,Molnupiravir,SMILES368,SideEffect27,TargetClass19,Pathway8,1
Depression,Gene44,Gefitinib,SMILES336,SideEffect46,TargetClass10,Pathway14,0
Breast Cancer,Gene88,Tamoxifen,SMILES149,SideEffect7,TargetClass5,Pathway14,1
Parkinson's disease,Gene23,Carbidopa,SMILES123,SideEffect13,TargetClass16,Pathway1,1
Breast Cancer,Gene75,Tamoxifen,SMILES144,SideEffect23,TargetClass12,Pathway11,1
Breast Cancer,Gene36,Tamoxifen,SMILES266,SideEffect49,TargetClass4,Pathway3,1
Breast Cancer,Gene40,Trastuzumab,SMILES176,SideEffect35,TargetClass12,Pathway9,1
Breast Cancer,Gene67,Trastuzumab,SMILES112,SideEffect20,TargetClass9,Pathway6,1
Parkinson's disease,Gene52,Carbidopa,SMILES335,SideEffect20,TargetClass4,Pathway2,1
Breast Cancer,Gene91,Tamoxifen,SMILES146,SideEffect30,TargetClass2,Pathway5,1
Alzheimer's disease,Gene77,Donepezil,SMILES206,SideEffect30,TargetClass16,Pathway9,1
Alzheimer's disease,Gene42,Memantine,SMILES425,SideEffect9,TargetClass14,Pathway10,1
Breast Cancer,Gene8,Trastuzumab,SMILES447,SideEffect4,TargetClass13,Pathway6,1
COVID-19,Gene5,Carbidopa,SMILES272,SideEffect27,TargetClass4,Pathway8,0
Alzheimer's disease,Gene64,Memantine,SMILES488,SideEffect47,TargetClass12,Pathway2,1
Alzheimer's disease,Gene21,Glipizide,SMILES346,SideEffect46,TargetClass4,Pathway6,0
Lung Cancer,Gene94,Erlotinib,SMILES459,SideEffect7,TargetClass12,Pathway10,1
Type 2 Diabetes,Gene35,Metformin,SMILES376,SideEffect30,TargetClass13,Pathway14,1
COVID-19,Gene43,Molnupiravir,SMILES238,SideEffect42,TargetClass18,Pathway7,1
COVID-19,Gene47,Molnupiravir,SMILES475,SideEffect15,TargetClass6,Pathway14,1
Alzheimer's disease,Gene87,Donepezil,SMILES31,SideEffect36,TargetClass4,Pathway11,1
Parkinson's disease,Gene62,Levodopa,SMILES235,SideEffect20,TargetClass18,Pathway5,1
Type 2 Diabetes,Gene52,Glipizide,SMILES33,SideEffect20,TargetClass16,Pathway5,1
Parkinson's disease,Gene27,Carbidopa,SMILES91,SideEffect15,TargetClass7,Pathway13,1
Parkinson's disease,Gene97,Levodopa,SMILES53,SideEffect1,TargetClass15,Pathway11,1
Alzheimer's disease,Gene79,Donepezil,SMILES347,SideEffect25,TargetClass1,Pathway2,1
COVID-19,Gene94,Remdesivir,SMILES465,SideEffect19,TargetClass17,Pathway8,1
Type 2 Diabetes,Gene3,Molnupiravir,SMILES35,SideEffect38,TargetClass1,Pathway9,0
Parkinson's disease,Gene63,Carbidopa,SMILES142,SideEffect34,TargetClass15,Pathway1,1
COVID-19,Gene51,Trastuzumab,SMILES88,SideEffect41,TargetClass17,Pathway12,0
Parkinson's disease,Gene74,Carbidopa,SMILES211,SideEffect26,TargetClass9,Pathway13,1
Depression,Gene12,Sertraline,SMILES81,SideEffect30,TargetClass19,Pathway2,1
Lung Cancer,Gene76,Erlotinib,SMILES128,SideEffect13,TargetClass8,Pathway13,1
COVID-19,Gene31,Remdesivir,SMILES421,SideEffect27,TargetClass15,Pathway4,1
Breast Cancer,Gene48,Tamoxifen,SMILES336,SideEffect28,TargetClass3,Pathway2,1
Parkinson's disease,Gene82,Carbidopa,SMILES446,SideEffect42,TargetClass11,Pathway7,1
COVID-19,Gene84,Remdesivir,SMILES126,SideEffect49,TargetClass6,Pathway8,1
Type 2 Diabetes,Gene37,Glipizide,SMILES324,SideEffect20,TargetClass18,Pathway8,1
Depression,Gene20,Fluoxetine,SMILES395,SideEffect15,TargetClass14,Pathway1,1
Lung Cancer,Gene66,Remdesivir,SMILES415,SideEffect47,TargetClass11,Pathway6,0
Lung Cancer,Gene44,Gefitinib,SMILES194,SideEffect2,TargetClass17,Pathway10,1
Lung Cancer,Gene61,Gefitinib,SMILES458,SideEffect3,TargetClass13,Pathway11,1
Lung Cancer,Gene2,Erlotinib,SMILES182,SideEffect34,TargetClass10,Pathway13,1
COVID-19,Gene15,Remdesivir,SMILES128,SideEffect3,TargetClass2,Pathway8,1
Lung Cancer,Gene88,Gefitinib,SMILES77,SideEffect40,TargetClass16,Pathway2,1
Alzheimer's disease,Gene86,Remdesivir,SMILES238,SideEffect9,TargetClass15,Pathway4,0
Alzheimer's disease,Gene15,Memantine,SMILES21,SideEffect36,TargetClass6,Pathway9,1
Alzheimer's disease,Gene40,Donepezil,SMILES229,SideEffect5,TargetClass5,Pathway11,1
Breast Cancer,Gene10,Tamoxifen,SMILES132,SideEffect4,TargetClass6,Pathway10,1
Depression,Gene76,Sertraline,SMILES319,SideEffect24,TargetClass19,Pathway9,1
Lung Cancer,Gene33,Gefitinib,SMILES463,SideEffect15,TargetClass14,Pathway7,1
Parkinson's disease,Gene22,Levodopa,SMILES149,SideEffect19,TargetClass1,Pathway4,1
Depression,Gene12,Fluoxetine,SMILES301,SideEffect2,TargetClass8,Pathway4,1
COVID-19,Gene17,Trastuzumab,SMILES210,SideEffect19,TargetClass8,Pathway13,0
COVID-19,Gene95,Molnupiravir,SMILES499,SideEffect19,TargetClass17,Pathway5,1
COVID-19,Gene83,Remdesivir,SMILES64,SideEffect43,TargetClass6,Pathway13,1
Breast Cancer,Gene63,Trastuzumab,SMILES49,SideEffect27,TargetClass9,Pathway7,1
Depression,Gene99,Fluoxetine,SMILES436,SideEffect49,TargetClass7,Pathway7,1
Lung Cancer,Gene58,Gefitinib,SMILES218,SideEffect9,TargetClass9,Pathway1,1
Type 2 Diabetes,Gene37,Sertraline,SMILES212,SideEffect6,TargetClass9,Pathway13,0
Depression,Gene79,Sertraline,SMILES479,SideEffect15,TargetClass4,Pathway4,1
Alzheimer's disease,Gene91,Memantine,SMILES258,SideEffect20,TargetClass19,Pathway2,1
Parkinson's disease,Gene14,Carbidopa,SMILES247,SideEffect35,TargetClass15,Pathway10,1
Depression,Gene7,Fluoxetine,SMILES461,SideEffect4,TargetClass18,Pathway8,1
Parkinson's disease,Gene62,Trastuzumab,SMILES257,SideEffect17,TargetClass16,Pathway9,0
COVID-19,Gene38,Remdesivir,SMILES337,SideEffect48,TargetClass14,Pathway13,1
Parkinson's disease,Gene80,Carbidopa,SMILES111,SideEffect2,TargetClass16,Pathway7,1
Breast Cancer,Gene43,Trastuzumab,SMILES188,SideEffect26,TargetClass11,Pathway2,1
Type 2 Diabetes,Gene2,Metformin,SMILES296,SideEffect30,TargetClass10,Pathway10,1
Type 2 Diabetes,Gene24,Glipizide,SMILES151,SideEffect32,TargetClass5,Pathway12,1
Depression,Gene97,Erlotinib,SMILES146,SideEffect3,TargetClass19,Pathway10,0
Type 2 Diabetes,Gene80,Glipizide,SMILES24,SideEffect39,TargetClass19,Pathway12,1
Lung Cancer,Gene38,Gefitinib,SMILES131,SideEffect36,TargetClass8,Pathway13,1
Type 2 Diabetes,Gene91,Metformin,SMILES400,SideEffect26,TargetClass17,Pathway7,1
Depression,Gene32,Sertraline,SMILES426,SideEffect32,TargetClass19,Pathway1,1
Breast Cancer,Gene19,Tamoxifen,SMILES371,SideEffect17,TargetClass2,Pathway4,1
Depression,Gene25,Sertraline,SMILES445,SideEffect41,TargetClass5,Pathway4,1
Lung Cancer,Gene32,Erlotinib,SMILES363,SideEffect46,TargetClass14,Pathway3,1
Parkinson's disease,Gene84,Levodopa,SMILES122,SideEffect29,TargetClass9,Pathway2,1
Depression,Gene44,Fluoxetine,SMILES32,SideEffect3,TargetClass14,Pathway12,1
Alzheimer's disease,Gene1,Remdesivir,SMILES235,SideEffect46,TargetClass11,Pathway10,0
Parkinson's disease,Gene9,Levodopa,SMILES270,SideEffect32,TargetClass16,Pathway3,1
Parkinson's disease,Gene53,Glipizide,SMILES451,SideEffect26,TargetClass7,Pathway13,0
Breast Cancer,Gene43,Tamoxifen,SMILES157,SideEffect49,TargetClass12,Pathway12,1
COVID-19,Gene18,Remdesivir,SMILES415,SideEffect43,TargetClass3,Pathway7,1
Lung Cancer,Gene45,Erlotinib,SMILES208,SideEffect48,TargetClass3,Pathway6,1
Alzheimer's disease,Gene21,Memantine,SMILES272,SideEffect10,TargetClass12,Pathway13,1
Type 2 Diabetes,Gene69,Glipizide,SMILES445,SideEffect42,TargetClass2,Pathway8,1
Lung Cancer,Gene87,Gefitinib,SMILES198,SideEffect13,TargetClass17,Pathway7,1
Parkinson's disease,Gene49,Fluoxetine,SMILES67,SideEffect38,TargetClass13,Pathway9,0
Depression,Gene18,Gefitinib,SMILES258,SideEffect8,TargetClass11,Pathway1,0
Lung Cancer,Gene48,Gefitinib,SMILES33,SideEffect19,TargetClass9,Pathway12,1
COVID-19,Gene88,Remdesivir,SMILES149,SideEffect49,TargetClass4,Pathway7,1
Type 2 Diabetes,Gene76,Levodopa,SMILES49,SideEffect15,TargetClass17,Pathway10,0
Type 2 Diabetes,Gene74,Gefitinib,SMILES116,SideEffect30,TargetClass3,Pathway3,0
COVID-19,Gene37,Molnupiravir,SMILES313,SideEffect46,TargetClass14,Pathway4,1
Alzheimer's disease,Gene86,Memantine,SMILES407,SideEffect5,TargetClass18,Pathway5,1
COVID-19,Gene20,Remdesivir,SMILES403,SideEffect13,TargetClass19,Pathway2,1
Parkinson's disease,Gene89,Carbidopa,SMILES202,SideEffect29,TargetClass14,Pathway6,1
Parkinson's disease,Gene39,Levodopa,SMILES248,SideEffect32,TargetClass19,Pathway5,1
Depression,Gene5,Erlotinib,SMILES399,SideEffect23,TargetClass17,Pathway3,0
Type 2 Diabetes,Gene1,Metformin,SMILES482,SideEffect27,TargetClass5,Pathway2,1
Type 2 Diabetes,Gene36,Metformin,SMILES113,SideEffect21,TargetClass2,Pathway14,1
Alzheimer's disease,Gene90,Donepezil,SMILES445,SideEffect5,TargetClass17,Pathway10,1
COVID-19,Gene78,Remdesivir,SMILES428,SideEffect10,TargetClass15,Pathway7,1
Type 2 Diabetes,Gene5,Glipizide,SMILES98,SideEffect19,TargetClass7,Pathway7,1
Breast Cancer,Gene62,Tamoxifen,SMILES362,SideEffect38,TargetClass13,Pathway10,1
Type 2 Diabetes,Gene49,Fluoxetine,SMILES203,SideEffect29,TargetClass6,Pathway13,0
Breast Cancer,Gene9,Tamoxifen,SMILES16,SideEffect6,TargetClass8,Pathway1,1
Alzheimer's disease,Gene31,Donepezil,SMILES22,SideEffect34,TargetClass12,Pathway11,1
Breast Cancer,Gene71,Trastuzumab,SMILES285,SideEffect46,TargetClass2,Pathway10,1
Lung Cancer,Gene80,Erlotinib,SMILES158,SideEffect32,TargetClass14,Pathway8,1
Type 2 Diabetes,Gene32,Remdesivir,SMILES422,SideEffect40,TargetClass14,Pathway5,0
COVID-19,Gene61,Molnupiravir,SMILES27,SideEffect38,TargetClass3,Pathway12,1
Lung Cancer,Gene64,Erlotinib,SMILES52,SideEffect17,TargetClass6,Pathway4,1
COVID-19,Gene57,Molnupiravir,SMILES75,SideEffect1,TargetClass15,Pathway8,1
Alzheimer's disease,Gene14,Donepezil,SMILES387,SideEffect38,TargetClass19,Pathway8,1
COVID-19,Gene36,Molnupiravir,SMILES391,SideEffect21,TargetClass2,Pathway7,1
Type 2 Diabetes,Gene19,Metformin,SMILES143,SideEffect39,TargetClass15,Pathway1,1
Lung Cancer,Gene5,Gefitinib,SMILES456,SideEffect46,TargetClass5,Pathway10,1
Type 2 Diabetes,Gene59,Molnupiravir,SMILES52,SideEffect33,TargetClass17,Pathway11,0
Parkinson's disease,Gene72,Levodopa,SMILES58,SideEffect40,TargetClass11,Pathway7,1
Depression,Gene30,Sertraline,SMILES285,SideEffect36,TargetClass17,Pathway10,1
Depression,Gene65,Fluoxetine,SMILES437,SideEffect21,TargetClass3,Pathway14,1
Type 2 Diabetes,Gene36,Metformin,SMILES113,SideEffect41,TargetClass15,Pathway1,1
Breast Cancer,Gene54,Trastuzumab,SMILES363,SideEffect29,TargetClass18,Pathway2,1
Alzheimer's disease,Gene50,Levodopa,SMILES93,SideEffect10,TargetClass4,Pathway14,0
Depression,Gene78,Metformin,SMILES413,SideEffect25,TargetClass2,Pathway2,0
Breast Cancer,Gene32,Trastuzumab,SMILES73,SideEffect2,TargetClass10,Pathway2,1
Parkinson's disease,Gene86,Carbidopa,SMILES205,SideEffect9,TargetClass1,Pathway14,1
Parkinson's disease,Gene36,Carbidopa,SMILES307,SideEffect19,TargetClass17,Pathway8,1
COVID-19,Gene99,Remdesivir,SMILES340,SideEffect21,TargetClass2,Pathway11,1
Lung Cancer,Gene55,Erlotinib,SMILES271,SideEffect47,TargetClass14,Pathway10,1
Lung Cancer,Gene84,Gefitinib,SMILES428,SideEffect20,TargetClass7,Pathway7,1
Depression,Gene32,Fluoxetine,SMILES363,SideEffect13,TargetClass6,Pathway1,1
Parkinson's disease,Gene99,Sertraline,SMILES409,SideEffect18,TargetClass15,Pathway5,0
Depression,Gene99,Fluoxetine,SMILES250,SideEffect6,TargetClass19,Pathway12,1
Depression,Gene54,Fluoxetine,SMILES138,SideEffect22,TargetClass6,Pathway11,1
Breast Cancer,Gene10,Trastuzumab,SMILES112,SideEffect12,TargetClass9,Pathway3,1
Type 2 Diabetes,Gene92,Glipizide,SMILES94,SideEffect40,TargetClass17,Pathway9,1
Parkinson's disease,Gene36,Gefitinib,SMILES101,SideEffect3,TargetClass9,Pathway13,0
Parkinson's disease,Gene71,Tamoxifen,SMILES58,SideEffect34,TargetClass6,Pathway4,0
Breast Cancer,Gene47,Tamoxifen,SMILES21,SideEffect32,TargetClass8,Pathway9,1
Type 2 Diabetes,Gene74,Metformin,SMILES353,SideEffect38,TargetClass13,Pathway4,1
COVID-19,Gene70,Remdesivir,SMILES480,SideEffect48,TargetClass8,Pathway3,1
Breast Cancer,Gene96,Trastuzumab,SMILES188,SideEffect27,TargetClass16,Pathway10,1
Alzheimer's disease,Gene12,Tamoxifen,SMILES475,SideEffect17,TargetClass7,Pathway7,0
Breast Cancer,Gene77,Trastuzumab,SMILES214,SideEffect48,TargetClass8,Pathway8,1
Type 2 Diabetes,Gene36,Glipizide,SMILES405,SideEffect13,TargetClass11,Pathway8,1
Depression,Gene79,Levodopa,SMILES210,SideEffect33,TargetClass6,Pathway11,0
Lung Cancer,Gene66,Gefitinib,SMILES421,SideEffect34,TargetClass18,Pathway6,1
COVID-19,Gene43,Molnupiravir,SMILES40,SideEffect45,TargetClass8,Pathway7,1
Breast Cancer,Gene63,Carbidopa,SMILES455,SideEffect2,TargetClass10,Pathway3,0
Alzheimer's disease,Gene59,Memantine,SMILES85,SideEffect32,TargetClass9,Pathway13,1
Parkinson's disease,Gene63,Carbidopa,SMILES140,SideEffect41,TargetClass19,Pathway12,1
Parkinson's disease,Gene76,Levodopa,SMILES42,SideEffect31,TargetClass12,Pathway12,1
COVID-19,Gene62,Remdesivir,SMILES296,SideEffect21,TargetClass16,Pathway13,1
Alzheimer's disease,Gene21,Trastuzumab,SMILES68,SideEffect25,TargetClass1,Pathway7,0
Lung Cancer,Gene93,Memantine,SMILES192,SideEffect39,TargetClass12,Pathway7,0
Depression,Gene72,Metformin,SMILES243,SideEffect3,TargetClass9,Pathway13,0
Breast Cancer,Gene59,Trastuzumab,SMILES106,SideEffect41,TargetClass2,Pathway5,1
Depression,Gene36,Sertraline,SMILES314,SideEffect28,TargetClass7,Pathway2,1
Parkinson's disease,Gene12,Donepezil,SMILES86,SideEffect12,TargetClass6,Pathway12,0
COVID-19,Gene87,Remdesivir,SMILES368,SideEffect34,TargetClass3,Pathway1,1
Alzheimer's disease,Gene76,Memantine,SMILES30,SideEffect27,TargetClass11,Pathway5,1
Depression,Gene12,Sertraline,SMILES250,SideEffect34,TargetClass6,Pathway5,1
Depression,Gene87,Erlotinib,SMILES318,SideEffect29,TargetClass1,Pathway13,0
Type 2 Diabetes,Gene27,Tamoxifen,SMILES151,SideEffect7,TargetClass15,Pathway5,0
COVID-19,Gene19,Remdesivir,SMILES463,SideEffect33,TargetClass10,Pathway1,1
COVID-19,Gene30,Remdesivir,SMILES133,SideEffect47,TargetClass14,Pathway7,1
Lung Cancer,Gene58,Trastuzumab,SMILES76,SideEffect43,TargetClass13,Pathway2,0
Lung Cancer,Gene69,Erlotinib,SMILES43,SideEffect7,TargetClass6,Pathway12,1
Alzheimer's disease,Gene2,Donepezil,SMILES397,SideEffect2,TargetClass11,Pathway13,1
Breast Cancer,Gene67,Trastuzumab,SMILES347,SideEffect19,TargetClass1,Pathway5,1
Type 2 Diabetes,Gene21,Glipizide,SMILES300,SideEffect11,TargetClass7,Pathway4,1
Type 2 Diabetes,Gene24,Glipizide,SMILES393,SideEffect14,TargetClass7,Pathway10,1
COVID-19,Gene81,Remdesivir,SMILES487,SideEffect24,TargetClass3,Pathway14,1
Lung Cancer,Gene4,Erlotinib,SMILES12,SideEffect42,TargetClass2,Pathway4,1
Type 2 Diabetes,Gene87,Metformin,SMILES477,SideEffect31,TargetClass5,Pathway12,1
Lung Cancer,Gene98,Erlotinib,SMILES481,SideEffect5,TargetClass3,Pathway13,1
Depression,Gene5,Sertraline,SMILES398,SideEffect28,TargetClass4,Pathway7,1
Alzheimer's disease,Gene46,Levodopa,SMILES4,SideEffect19,TargetClass6,Pathway13,0
COVID-19,Gene29,Molnupiravir,SMILES447,SideEffect6,TargetClass3,Pathway12,1
COVID-19,Gene28,Molnupiravir,SMILES198,SideEffect13,TargetClass11,Pathway14,1
COVID-19,Gene23,Fluoxetine,SMILES138,SideEffect19,TargetClass19,Pathway12,0
Depression,Gene90,Fluoxetine,SMILES229,SideEffect20,TargetClass10,Pathway3,1
Lung Cancer,Gene81,Gefitinib,SMILES166,SideEffect36,TargetClass2,Pathway6,1
Lung Cancer,Gene33,Erlotinib,SMILES24,SideEffect44,TargetClass11,Pathway1,1
Type 2 Diabetes,Gene1,Glipizide,SMILES341,SideEffect25,TargetClass14,Pathway14,1
Depression,Gene28,Sertraline,SMILES406,SideEffect22,TargetClass2,Pathway13,1
Lung Cancer,Gene75,Erlotinib,SMILES367,SideEffect48,TargetClass19,Pathway5,1
Alzheimer's disease,Gene20,Donepezil,SMILES228,SideEffect30,TargetClass10,Pathway6,1
Alzheimer's disease,Gene93,Glipizide,SMILES317,SideEffect23,TargetClass5,Pathway5,0
Depression,Gene26,Fluoxetine,SMILES111,SideEffect17,TargetClass6,Pathway7,1
Alzheimer's disease,Gene9,Glipizide,SMILES169,SideEffect31,TargetClass6,Pathway14,0
Breast Cancer,Gene99,Tamoxifen,SMILES453,SideEffect45,TargetClass14,Pathway13,1
Lung Cancer,Gene73,Glipizide,SMILES103,SideEffect31,TargetClass15,Pathway2,0
Type 2 Diabetes,Gene18,Donepezil,SMILES308,SideEffect40,TargetClass11,Pathway3,0
Alzheimer's disease,Gene44,Fluoxetine,SMILES422,SideEffect41,TargetClass17,Pathway12,0
Parkinson's disease,Gene47,Carbidopa,SMILES43,SideEffect20,TargetClass1,Pathway13,1
Lung Cancer,Gene7,Gefitinib,SMILES273,SideEffect32,TargetClass15,Pathway13,1
Type 2 Diabetes,Gene9,Fluoxetine,SMILES278,SideEffect10,TargetClass1,Pathway7,0
Alzheimer's disease,Gene84,Fluoxetine,SMILES170,SideEffect24,TargetClass1,Pathway2,0
Type 2 Diabetes,Gene69,Glipizide,SMILES266,SideEffect28,TargetClass3,Pathway13,1
Alzheimer's disease,Gene36,Memantine,SMILES124,SideEffect9,TargetClass8,Pathway5,1
Alzheimer's disease,Gene55,Memantine,SMILES468,SideEffect44,TargetClass13,Pathway2,1
COVID-19,Gene90,Remdesivir,SMILES168,SideEffect40,TargetClass12,Pathway9,1
Parkinson's disease,Gene78,Sertraline,SMILES27,SideEffect5,TargetClass8,Pathway9,0
Type 2 Diabetes,Gene77,Metformin,SMILES273,SideEffect30,TargetClass17,Pathway9,1
Parkinson's disease,Gene22,Levodopa,SMILES56,SideEffect16,TargetClass8,Pathway14,1
Lung Cancer,Gene66,Erlotinib,SMILES158,SideEffect44,TargetClass9,Pathway7,1
Alzheimer's disease,Gene9,Memantine,SMILES415,SideEffect42,TargetClass11,Pathway3,1
Parkinson's disease,Gene17,Carbidopa,SMILES315,SideEffect10,TargetClass3,Pathway4,1
Breast Cancer,Gene47,Metformin,SMILES30,SideEffect43,TargetClass8,Pathway8,0
COVID-19,Gene47,Remdesivir,SMILES359,SideEffect22,TargetClass8,Pathway11,1
COVID-19,Gene51,Molnupiravir,SMILES356,SideEffect28,TargetClass9,Pathway11,1
Parkinson's disease,Gene63,Glipizide,SMILES24,SideEffect33,TargetClass3,Pathway1,0
Depression,Gene84,Trastuzumab,SMILES410,SideEffect28,TargetClass10,Pathway8,0
Depression,Gene97,Fluoxetine,SMILES322,SideEffect42,TargetClass6,Pathway11,1
Lung Cancer,Gene34,Erlotinib,SMILES302,SideEffect45,TargetClass4,Pathway14,1
Breast Cancer,Gene69,Tamoxifen,SMILES418,SideEffect39,TargetClass10,Pathway9,1
Parkinson's disease,Gene30,Carbidopa,SMILES114,SideEffect24,TargetClass5,Pathway13,1
Breast Cancer,Gene70,Memantine,SMILES84,SideEffect28,TargetClass12,Pathway8,0
Breast Cancer,Gene19,Glipizide,SMILES471,SideEffect46,TargetClass10,Pathway1,0
Alzheimer's disease,Gene16,Donepezil,SMILES268,SideEffect38,TargetClass3,Pathway5,1
Breast Cancer,Gene88,Trastuzumab,SMILES175,SideEffect9,TargetClass3,Pathway7,1
Type 2 Diabetes,Gene98,Metformin,SMILES126,SideEffect3,TargetClass18,Pathway13,1
Depression,Gene5,Sertraline,SMILES99,SideEffect9,TargetClass4,Pathway7,1
Type 2 Diabetes,Gene54,Donepezil,SMILES475,SideEffect48,TargetClass10,Pathway6,0
Alzheimer's disease,Gene50,Memantine,SMILES13,SideEffect20,TargetClass16,Pathway6,1
Alzheimer's disease,Gene46,Glipizide,SMILES314,SideEffect21,TargetClass14,Pathway4,0
Parkinson's disease,Gene2,Erlotinib,SMILES284,SideEffect34,TargetClass6,Pathway4,0
Parkinson's disease,Gene3,Levodopa,SMILES147,SideEffect41,TargetClass5,Pathway11,1
Breast Cancer,Gene37,Tamoxifen,SMILES337,SideEffect39,TargetClass10,Pathway12,1
Depression,Gene81,Sertraline,SMILES453,SideEffect14,TargetClass2,Pathway13,1
Alzheimer's disease,Gene53,Memantine,SMILES119,SideEffect7,TargetClass4,Pathway13,1
Depression,Gene81,Fluoxetine,SMILES240,SideEffect30,TargetClass2,Pathway1,1
Parkinson's disease,Gene13,Levodopa,SMILES146,SideEffect41,TargetClass9,Pathway7,1
Alzheimer's disease,Gene96,Memantine,SMILES250,SideEffect5,TargetClass13,Pathway6,1
COVID-19,Gene61,Remdesivir,SMILES28,SideEffect35,TargetClass8,Pathway2,1
